ProcedureName,CaseType,NumberOfCases
Excision Cystic Lesion,Elective,68
Excision Dental Cyst,Elective,3
Excision Dermoid Cyst,Elective,7
Excision Distal Clavicle,Elective,6
Excision Ear External - Partial,Elective,4
Excision Excess Labial Tissue,Unknown,1
Excision Excess Mucosa Form Lip,Elective,1
Excision Exostosis,Elective,6
Excision External Ear - Total Pinnectomy,Elective,2
Excision Fibroepithelial Polyp Anus,Elective,1
Excision Ganglion,Elective,15
Excision Ganglion Foot/Ankle,Elective,3
Excision Ganglion Hand,Elective,11
Excision Ganglion Wrist,Elective,13
Excision Granuloma Cell Tumour,Elective,1
Excision Haemangioma,Elective,5
Excision Hydradenitis - Axilla,Elective,2
Excision Hydradenitis - Groin,Elective,2
Excision Hydradenitis - Groin,Emergency,1
Excision Hydrocele,Elective,9
Excision Lacrimal Gland,Elective,1
Excision Lesion Bone,Elective,6
Excision Lesion Bone of Face,Elective,1
Excision Lesion Breast,Elective,19
Excision Lesion Chest Wall,Elective,5
Excision Lesion Chest Wall,Emergency,1
Excision Lesion Cornea,Elective,3
Excision Lesion Ear External,Elective,10
Excision Lesion Epididymis,Elective,39
Excision Lesion Eyelid,Elective,54
Excision Lesion Lip,Elective,11
Excision Lesion Mammary Duct,Elective,1
Excision Lesion Mesentery Small Bowel,Elective,1
Excision Lesion Mouth,Elective,12
Excision Lesion Nasal Septum,Elective,3
Excision Lesion Nerve Peripheral,Elective,1
Excision Lesion Nose Internal,Elective,5
Excision Lesion of Joint,Elective,1
Excision Lesion of Palate,Elective,3
Excision Lesion Orbit,Elective,2
Excision Lesion Parathyroid Gland,Elective,2
Excision Lesion Parotid Gland,Elective,1
Excision Lesion Penis,Elective,12
Excision Lesion Pharynx,Elective,1
Excision Lesion Rectum Peranal,Elective,2
Excision Lesion Scrotum,Elective,7
Excision Lesion Skin,Elective,292
Excision Lesion Skin,Emergency,1
Excision Lesion Skin Head / Neck,Elective,162
Excision Lesion Skin Head / Neck,Emergency,1
Excision Lesion Soft Tissue (Lump),Elective,70
Excision Lesion Soft Tissue (Lump),Emergency,1
Excision Lesion Spermatic Cord,Elective,1
Excision Lesion Sublingual Gland,Elective,1
Excision Lesion Submandibular Gland,Elective,1
Excision Lesion Tendon,Elective,1
Excision Lesion Testis,Elective,1
Excision Lesion Tongue,Elective,5
Excision Lesion Trachea,Elective,1
Excision Lesion Umbilicus,Elective,1
Excision Lesion Uvula,Elective,1
Excision Lesion Vagina,Elective,4
Excision Lesion Vagina,Unknown,4
Excision Lesion Vulva,Elective,31
Excision Lesion Vulva,Unknown,3
Excision Lipoma,Elective,183
Excision Lump in Breast,Elective,46
Excision Lymph Node (Nec),Elective,7
Excision M.M. Head or Neck Plus Direct Closure,Elective,8
Excision M.M. Head or Neck Plus Full Thickness Graft,Elective,2
Excision M.M. Head or Neck Plus Local Flap,Elective,2
Excision M.M. Skin Plus Direct Closure,Elective,25
Excision M.M. Skin Plus Full Thickness Graft,Elective,2
Excision M.M. Skin Plus Local Flap,Elective,1
Excision M.M. Skin Plus Split Skin Graft,Elective,2
Excision Mammary Duct Subareolar,Elective,6
Excision Mediastinal Mass,Elective,1
Excision Myxoma,Elective,2
Excision Nail Bed,Elective,12
Excision Nail Bed,Emergency,2
Excision Nail Total,Elective,1
Excision Necrotic Tissue,Emergency,2
Excision Nerve Peripheral,Elective,3
Excision Nose ( Total Rhinectomy),Elective,4
Excision of Arteriovenous Malformation,Elective,5
Excision of Breast - Partial,Elective,6
Excision of Breast Duct,Elective,7
Excision of Distal Pole of Scaphoid,Elective,1
Excision of Mammary Duct Fistula,Elective,1
Excision of Naevus,Elective,1
Excision of Neurofibromas,Elective,3
Excision of Overgrowth of Bone,Elective,2
Excision of Segment of Lung (Vats),Elective,3
Excision of Segment of Lung Thoracoscopic,Elective,7
Excision Osteophyte - Bone,Elective,2
Excision Other Malignant Lesion Head or Neck Plus Free Flap,Elective,1
Excision Other Malignant Lesion Lip Plus Direct Closure,Elective,1
Excision Other Malignant Lesion Nose Plus Full Thickness Graft,Elective,1
Excision Para-Aortic Lymph Node,Elective,1
Excision Perianal Wart,Elective,4
Excision Pharyngeal Pouch Endoscopic,Elective,1
Excision Pharyngeal Pouch Open,Elective,2
Excision Pilonidal Sinus,Elective,38
Excision Pilonidal Sinus,Emergency,1
Excision Pilonidal Sinus Plus Skin Flap,Elective,3
Excision Pip Joint,Elective,2
Excision Pre-Auricular Cyst,Elective,2
Excision Pre-Auricular Sinus,Elective,2
Excision Pre-Auricular Tag,Elective,6
Excision Pterygium,Elective,10
Excision Rectal Polyp - Trans Anal,Elective,2
Excision Rib,Elective,2
Excision S.C.C Skin Plus Direct Closure,Elective,1
Excision S.C.C Skin Plus Full Thickness Graft,Elective,14
Excision S.C.C Skin Plus Split Skin Graft,Elective,7
Excision S.C.C. Ear External Plus Direct Closure,Elective,1
Excision S.C.C. Ear External Plus Full Thickness Graft,Elective,1
Excision S.C.C. Ear External Plus Local Flap,Elective,1
Excision S.C.C. Head or Neck Plus Free Flap,Elective,4
Excision S.C.C. Head or Neck Plus Free Flap,Emergency,1
Excision S.C.C. Head or Neck Plus Full Thickness Graft,Elective,7
Excision S.C.C. Head or Neck Plus Split Skin Graft,Elective,5
Excision S.C.C. Lip Plus Direct Closure,Elective,1
Excision Schwannoma,Elective,1
Excision Scrotum Other Specified,Elective,1
Excision Sebaceous Cyst,Elective,31
Excision Sebaceous Cyst,Emergency,1
Excision Sinus Skin,Elective,1
Excision Skin - Other Specified,Elective,33
Excision Submandibular Gland,Elective,9
Excision Sweat Gland Axilla,Elective,1
Excision Testicular Appendage,Unknown,1
Excision Thyroglossal Cyst,Elective,8
Excision Trapezium,Elective,31
Excision Ulnar Head,Elective,1
Excision Urethral Lesion,Elective,7
Excision Vocal Cord - Laser,Elective,1
Excision/Biopsy Inguinal Lymph Node,Elective,1
Exenteration Pelvic Total - Male,Elective,1
Exenteration Pelvis Total Female,Elective,1
Exeter Contemporary Cemented Total Hip Replacement,Elective,33
Exeter Contemporary Cemented Total Hip Replacement,Emergency,6
Exeter Rim Fit Total Hip Replacement,Elective,8
Exeter Rim Fit Total Hip Replacement,Emergency,5
Exeter Rim Fit Total Hip Replacement Extended,Elective,1
Exeter Trident Total Hip Replacement (Ceramic On Ceramic),Elective,31
Exeter Trident Total Hip Replacement (Ceramic On Ceramic),Emergency,2
Exeter Trident Total Hip Replacement (Ceramic On Ceramic) Extended,Elective,1
Exeter Trident Total Hip Replacement (Poly),Elective,191
Exeter Trident Total Hip Replacement (Poly),Emergency,10
Exeter Trident Total Hip Replacement (Poly) Extended,Elective,4
Exploration Aortic Graft,Emergency,1
Exploration Artery,Elective,1
Exploration Artery,Emergency,1
Exploration Axilla,Emergency,1
Exploration Cervical Spine -Laminectomy,Elective,1
Exploration Common Bile Duct,Emergency,1
Exploration Femoral Graft Inc Popliteal Graft,Emergency,1
Exploration Joint,Elective,3
Exploration Lesion (Head and Neck),Emergency,1
Exploration Lymphatics of Neck,Elective,1
Exploration Mastoid,Elective,11
Exploration of Bone,Elective,1
Exploration of Groin,Elective,3
Exploration of Groin,Emergency,7
Exploration of Spine - Other Specified,Elective,1
Exploration Parathyroid Gland,Elective,15
Exploration Peripheral Nerve,Elective,1
Exploration Scrotum,Emergency,36
Exploration Scrotum for Infection,Elective,1
Exploration Scrotum for Infection,Emergency,2
Exploration Scrotum for Torsion,Emergency,77
Exploration Skin - Other Specified,Elective,2
Exploration Submandibular Duct,Elective,1
Exploration Tendon,Elective,5
Exploration Tendon,Emergency,1
Exploration Tendon Hand,Emergency,1
Exploration Tendon Sheath,Elective,6
Exploration Tendon Sheath,Emergency,3
Exploration Testis,Emergency,3
Exploration Thoracotomy,Emergency,4
Exploration Ulnar Nerve,Elective,2
Exploration Ulnar Nerve,Emergency,1
Exploration Wound,Elective,104
Exploration Wound,Emergency,47
Exploration Wound,Not Recorded,1
Exploration Wound,Unknown,1
Exposure of Tooth,Elective,37
Extended Right Hemicolectomy and Anastomosis Nec - Laparoscopic,Elective,2
Extended Right Hemicolectomy and End to End Anastomosis,Emergency,2
Extended Right Hemicolectomy Laparoscopic,Elective,6
Extended Total Gastrectomy,Elective,6
Extended Total Gastrectomy,Emergency,2
Extracorporeal Membrane Oxygenation (Ecmo),Emergency,1
Extraction Calculus Parotid Duct Open,Elective,1
Extraction Calculus Submandibular Duct,Elective,2
Extraction of Impacted Wisdom Tooth,Elective,8
Extraction Supernumary Teeth,Elective,2
Extraction Supernumary Tooth,Elective,5
Facet Denervation Cervical Radio Frequency,Elective,14
Facet Denervation Lumbar (Radio Frequency),Elective,93
Facet Denervation Sacro Iliac Radio Frequency,Elective,2
Facet Joint Injection Cervical La,Elective,4
Facet Joint Injection Lumbar La,Elective,19
Facet Joint Injection Sacro Iliac La,Elective,16
Facet Joint Injection Thoracic La,Elective,1
Fasciectomy,Elective,187
Fasciectomy,Emergency,1
Fasciotomy,Elective,11
Fasciotomy,Emergency,5
Fat Injection - Subcutaneous,Elective,1
Femoral Embolectomy - Trans Luminal,Emergency,7
Femoral Embolectomy - Trans Luminal,Unknown,1
Femoral Nail Revision Total Ip Replacement,Elective,3
Femoro Popliteal Bypass (Vein Graft) Emergency,Emergency,6
Femoro-Distal Bypass,Elective,7
Femoro-Distal Bypass,Emergency,18
Femoro-Femoral Crossover Elective,Elective,2
Femoro-Femoral Crossover Emergency,Emergency,1
Femoro-Popliteal Bypass (Prosthesis) Elective,Elective,2
Femoro-Popliteal Bypass (Prosthesis) Emergency,Emergency,5
Femoro-Popliteal Bypass (Vein Graft) Elective,Elective,8
Femoro-Tibial Bypass (Vein Graft) Elective,Elective,2
Femoro-Tibial Bypass (Vein Graft) Elective,Emergency,1
Fem-Pop Bypass Above Knee (Prosthesis) Elective,Elective,2
Fem-Pop Bypass Above Knee (Prosthesis) Emergency,Emergency,1
Fem-Pop Bypass Above Knee (Vein Graft) Elective,Elective,1
Fem-Pop Bypass Above Knee (Vien Graft) Emergency,Emergency,4
Fem-Pop Bypass Below Knee (Prosthesis) Emergency,Emergency,1
Fem-Pop Bypass Below Knee (Vein Graft) Elective,Elective,2
Fem-Pop Bypass Below Knee (Vein Graft) Emergency,Elective,1
Fem-Pop Bypass Below Knee (Vein Graft) Emergency,Emergency,3
Fenestrated Endovascular Aneurysm Repair (Fevar),Elective,8
Fenestrated Endovascular Aneurysm Repair (Fevar),Emergency,1
Fenton's Repair,Elective,3
First Stage Insertion of Fixtures for Bone Anchored Hearing Prosthesis,Elective,2
First Stage Revision Hip Replacement Using Cement Spacer Mould,Elective,3
First Stage Revision Hip Replacement Using Cement Spacer Mould,Emergency,4
First Stage Revision Knee Using Cement,Elective,3
First Stage Revision Knee Using Cement,Emergency,3
Fistulaplasty,Elective,55
Fistulaplasty,Emergency,1
Fixation Fracture of Spine,Elective,8
Fixation Fracture of Spine,Emergency,17
Fixation of Testis,Elective,2
Fixation of Testis,Emergency,1
Flap of Skin to Eyelid,Elective,1
Flex Sigmoidoscopy,Elective,2
Flex Sigmoidoscopy,Emergency,1
Flex Sigmoidoscopy and Dilatation Lower Bowel Fibreoptic,Elective,1
Flexible Ureteroscopy & Biopsy Kidney,Elective,3
Flexible Ureteroscopy and Laser Frag of Calculus of Kidney,Elective,52
Foreskin Operation Other,Elective,4
Foreskin Operation Other,Emergency,1
Formation Colostomy -Nec,Elective,2
Formation Colostomy -Nec,Emergency,4
Formation Defunctioning Colostomy,Elective,12
Formation Defunctioning Colostomy,Emergency,6
Formation Ileo-Anal Pouch and Anast Ileum to Anus,Elective,1
Formation Ileostomy,Elective,5
Formation Ileostomy,Emergency,1
Formation Loop Colostomy Laparoscopic,Elective,7
Formation Loop Colostomy Laparoscopic,Emergency,3
Formation Loop Ileostomy,Emergency,1
Formation Tracheo Oesophageal Fistula / Puncture,Elective,1
Free Anterolateral Thigh Flap,Elective,3
Free Anterolateral Thigh Flap,Emergency,2
Free Fibular Flap,Elective,1
Free Flap of Muscle,Elective,1
Free Flap of Muscle,Emergency,1
Free Flap of Skin Head or Neck,Elective,1
Freehand Transperineal Prostate Biopsy,Elective,44
Freeing of Adhesions of Peritoneum,Emergency,1
Freeing of Extensive Adhesions of Peritoneum,Elective,1
Freeing of Extensive Adhesions of Peritoneum,Emergency,1
Freeing of Preputial Adhesions,Elective,2
Frenectomy (Tongue),Elective,1
Frenectomy Lip,Elective,1
Frenotomy,Elective,2
Frenuloplasty,Elective,14
Full Thickness Graft to Defect,Elective,1
Full Thickness Graft to Defect Head or Neck,Elective,1
Fusion Ankle - Arthroscopic,Elective,3
Fusion Ankle (Orif),Elective,3
Fusion Cervical Spine,Elective,1
Fusion D.I.P. Joint Foot,Elective,1
Fusion Dip Joint Finger,Elective,7
Fusion Dip Joint Finger,Emergency,1
Fusion Finger Interphalageal Joint,Elective,2
Fusion Joint - Hindfoot (Orif),Elective,16
Fusion Joint - Hindfoot (Orif),Emergency,6
Fusion Joint - Mid Foot (Orif),Elective,5
Fusion Joint - Mid Foot (Orif),Emergency,5
Fusion Lumbar Spine - Anterior,Elective,1
Fusion Lumbar Spine - Posterior,Elective,3
Fusion Lumbar Spine - Posterior,Emergency,1
Fusion Metacarpophalangeal Joint,Elective,2
Fusion Mtp Joint - First (Orif),Elective,18
Fusion Pip Joint Finger,Elective,3
Fusion Pip Joint Foot,Elective,10
Fusion Scaphoid Plus Bone Graft,Elective,3
Fusion Thoracic Spine,Emergency,2
Fusion Toe,Elective,2
Fusion Toe - Interphalageal Joint,Elective,2
Fusion Wrist Plus Int Fixation,Elective,9
Ganglion Impar Block (Sympathic Scaral),Elective,14
Gastrectomy - Sub Total,Elective,5
Gastrectomy - Sub Total,Emergency,1
Gastrectomy Sub Total Laparoscopic,Elective,2
Gastrectomy Total,Elective,1
Gastrectomy Total Laparoscopic,Emergency,1
Gastro-Jejunostomy,Emergency,1
Gastro-Jejunostomy Laparoscopic,Emergency,1
Gastropexy,Emergency,1
Gastropexy Laparoscopic,Elective,2
Gastropexy Laparoscopic,Emergency,1
Gastroscopy / Upper Gi Endoscopy Fibreoptic (Ogd),Elective,34
Gastroscopy / Upper Gi Endoscopy Fibreoptic (Ogd),Emergency,64
Gastroscopy / Upper Gi Endoscopy Fibreoptic (Ogd),Unknown,1
Gastroscopy Plus Biopsy Fibreoptic,Elective,47
Gastroscopy Plus Biopsy Fibreoptic,Emergency,2
Gastrostomy,Elective,17
Gastrostomy,Emergency,2
General Procedure for Attention,Elective,1
General Procedure for Attention,Emergency,1
Genesis 2 Total Knee Replacement,Elective,355
Genesis 2 Total Knee Replacement,Emergency,1
Gift Laparoscopy,Elective,1
Girdlestones - Excision Arthroplasty,Elective,1
Girdlestones - Excision Arthroplasty,Emergency,6
Glans Resurfacing,Elective,4
Glansectomy Penis,Elective,4
Glossectomy Partial,Elective,20
Gluing of Cornea,Elective,7
Gluing of Cornea,Emergency,1
Gluing of Cornea,Unknown,1
Gu Procedure for Attention,Elective,8
Gu Procedure for Attention,Emergency,2
Gynae Procedure for Attention,Emergency,1
Haemorrhoidal Artery Ligation,Elective,2
Haemorrhoidal Artery Ligation Doppler Guided (Halo) Plus Mucopexy,Elective,2
Haemorrhoidal Artery Ligation With Mucopexy,Emergency,1
Haemorrhoidectomy,Elective,63
Haemostasis Nose Internal,Elective,1
Haemostasis Nose Internal,Emergency,1
Haemostasis Post Op,Elective,1
Haemostasis Post Op,Emergency,6
Haemostasis Post Op Tonsil Beds,Elective,2
Haemostasis Post Op Tonsil Beds,Emergency,3
Hartmanns Procedure,Elective,4
Hartmanns Procedure,Emergency,21
Hartmanns Procedure Laparoscopic,Elective,1
Hartmanns Procedure Laparoscopic,Emergency,1
Harvest of Skin for Graft Other Specified,Elective,1
Harvest of Vein,Emergency,1
Hdr Brachytherapy Gynaecological Insertion (Cervix),Elective,10
Hdr Brachytherapy Prostate,Elective,38
Heated Intraperitoneal Chemotherapy (Hipec),Elective,4
Heated Intraperitoneal Chemotherapy (Hipec),Emergency,1
Helmstein Bladder Distention Endoscopic,Elective,2
Hemi Thyroidectomy,Elective,53
Hemimandibulectomy,Elective,2
Hemimandibulectomy,Emergency,1
Hernioscopy,Elective,1
Herniotomy Bilateral (Paediatric),Elective,1
Herniotomy Bilateral (Paediatric),Emergency,1
Herniotomy Unilateral (Paediatric),Elective,14
Herniotomy Unilateral (Paediatric),Emergency,6
High Anterior Resection - Laparoscopic,Elective,22
High Anterior Resection - Open,Elective,4
High Ligation Testicular Vein (Varicocele),Elective,2
Hip Spica Application,Elective,4
Hip Spica Application,Emergency,4
Hybrid Total Hip Replacement,Elective,233
Hybrid Total Hip Replacement,Emergency,21
Hymenectomy,Elective,3
Hyperhidrosis Botox,Elective,1
Hypospadias Straightening and Graft(Stag),Elective,3
Hysterectomy Radical Open,Elective,6
Hysterectomy Total Abdominal & Bil Salpingoophorectomy,Elective,37
Hysterectomy Total Abdominal & Bil Salpingoophorectomy,Emergency,2
Hysterectomy Total Abdominal (Without Oophorectomy ),Elective,11
Hysterectomy Total Laparoscopic,Elective,95
Hysterectomy Total Laparoscopic,Emergency,1
Hysterectomy Total Laparoscopic Including Bso,Elective,114
Hysteroscopy,Elective,188
Hysteroscopy and Biopsy Uterus,Elective,31
Hysterotomy,Elective,1
Ileal Conduit Construction Standard,Elective,3
Ileocaecal Resection,Emergency,3
Ileocaecal Resection Laparoscopic,Elective,4
Ileocaecal Resection Laparoscopic,Emergency,2
Ileo-Colic Resection Laparoscopic Assisted,Elective,1
Implantation Endoprosthetic Replacement of Bone,Elective,3
Implantation Penile Prothesis Inflatable,Elective,14
Implantation Semi Rigid Penile Prothesis,Elective,2
Inc/Drain Abscess Chest Wall,Emergency,1
Inc/Drain Abscess Head or Neck,Emergency,24
Inc/Drain Abscess of Muscle,Emergency,5
Inc/Drain Abscess of Skin,Elective,5
Inc/Drain Abscess of Skin,Emergency,88
Inc/Drain Abscess of Skin,Unknown,1
Inc/Drain Bartholins Abscess,Elective,1
Inc/Drain Bartholins Abscess,Emergency,17
Inc/Drain Breast Abscess,Emergency,2
Inc/Drain Dental Abscess,Elective,1
Inc/Drain Dental Abscess,Emergency,70
Inc/Drain Haematoma Ear External,Emergency,1
Inc/Drain Haematoma Skin,Elective,8
Inc/Drain Haematoma Skin,Emergency,13
Inc/Drain Ischiorectal Abscess,Emergency,8
Inc/Drain Lesion Skin,Elective,2
Inc/Drain Lesion Skin,Emergency,2
Inc/Drain Perianal Abscess,Elective,5
Inc/Drain Perianal Abscess,Emergency,71
Inc/Drain Pilonidal Abscess,Emergency,31
Inc/Drain Retroperitoneal Abscess,Emergency,1
Inc/Drain Submandibular Abscess,Emergency,31
Inc/Drain Vulval Abscess,Emergency,7
Incision Eyelid (Other Specified),Elective,1
Incision Hymen,Elective,1
Incision Male Bladder Neck Endoscopic,Elective,18
Incision Male Bladder Neck Endoscopic - Laser,Elective,1
Incision of Cornea - Other Specified,Elective,1
Incision Septum of Nose,Emergency,1
Incision/Drainage of Retropharyngeal Abscess,Emergency,3
Inferior Punctal Cautery,Elective,1
Injection Botox to Muscle,Elective,2
Injection Haemorrhoids,Elective,1
Injection Into Bursa,Elective,5
Injection Into Joint,Elective,52
Injection Into Larynx,Elective,2
Injection Into Vitreous Body,Elective,4
Injection Into Vitreous Body,Emergency,2
Injection La to Nerve - Peripheral Nerve Block,Elective,121
Injection La to Nerve - Peripheral Nerve Block,Emergency,7
Injection La/Steroids to Nerve Peripheral,Elective,7
Injection of Therapeutic Substance Into Coccygeal,Elective,19
Injection Rectal Prolapse,Elective,2
Injection Spinal Nerve Root - Non Destructive,Elective,146
Injection Spinal Nerve Root - Non Destructive,Emergency,3
Injection Steroid - Local Action,Elective,7
Injection Steroid Into Joint - Knee,Elective,3
Injection Steroid Into Joint - Wrist,Elective,1
Injection Steroid Into Joint-Hip,Elective,6
Injection Steroid Into Joint-Thumb,Elective,14
Injection Steroid Into Subcutaneous Tissue,Elective,1
Injection Steroid to Joint,Elective,46
Injection Steroid to Muscle,Elective,5
Injection Subconjunctival,Elective,1
Injection Theraputic Substance,Elective,6
Injection Thyroplasty Vocal Cord Injection Medialisation,Elective,1
Injection to Spinal Facet of Spine,Elective,44
Injection Trigger Point - La/Steroid,Elective,18
Injection Vitreous Substitute Into Vitreous Body,Elective,1
Ins Tube Into Anterior Chamber (Dr Aqueous Humour),Elective,5
Insertion Artificial Urinary Sphincter Male Bladder,Elective,5
Insertion Av Graft (Arm),Elective,1
Insertion Av Graft (Arm),Emergency,2
Insertion Breast Prosthesis (Not Augmentation),Elective,4
Insertion C3F8 Gas Vitreous Chamber Eye,Emergency,1
Insertion Cannula / Arterial Line,Elective,2
Insertion Cannula / Arterial Line,Emergency,3
Insertion Cannulated Hip Screws,Elective,6
Insertion Cannulated Hip Screws,Emergency,11
Insertion Central Venous Catheter,Elective,16
Insertion Central Venous Catheter,Emergency,6
Insertion Central Venous Catheter,Unknown,1
Insertion Dorsal Column Stimulator,Elective,28
Insertion Erector Spinae Catheter,Emergency,6
Insertion Femoral Nail,Elective,30
Insertion Femoral Nail,Emergency,147
Insertion Gastrostomy Button - Endoscopic Fibre-Optic,Elective,1
Insertion Gastrostomy Tube Percutaneous,Elective,27
Insertion Hickman Line,Elective,6
Insertion Hickman Line,Emergency,2
Insertion Humeral Nail,Elective,1
Insertion Humeral Nail,Emergency,6
Insertion Intrauterine Contraceptive Device,Elective,6
Insertion Intrauterine Contraceptive Device,Unknown,1
Insertion Nephrostomy Tube,Elective,1
Insertion of Cement Spacer to Joint/Bone,Elective,2
Insertion of Neurostimulator Electrodes Into the Spinal Cord,Elective,3
Insertion of Paravertebral Catheter,Emergency,2
Insertion of Picc Line,Emergency,15
Insertion of Prostate Rectal Spacer (Under Ga),Elective,19
Insertion of Prostate Rectal Spacer (Under La),Elective,5
Insertion of Vagal Nerve Stimulator,Elective,4
Insertion Peritoneal Catheter,Elective,2
Insertion Port-A-Cath,Elective,10
Insertion Prostatic Stent Endoscopic,Elective,5
Insertion Prosthetic Lens Replacement,Elective,14
Insertion Prosthetic Lens Replacement Plus Suture Fixation,Elective,2
Insertion Seton to Anal Fistula,Elective,4
Insertion Seton to Anal Fistula Plus Laying Open Track,Elective,3
Insertion Tendon Into Bone,Elective,1
Insertion Testicular Prosthesis,Elective,1
Insertion Theirsch Wire Around Perianal Sphincter,Elective,1
Insertion Tibial Nail,Elective,7
Insertion Tibial Nail,Emergency,29
Insertion Tissue Expander,Elective,1
Insertion Titanium Elastic Nail,Elective,9
Insertion Titanium Elastic Nail,Emergency,24
Insertion Upper Eyelid Levator Recession and Platinum Segments,Elective,2
Insertion Ureteric Stent Endoscopic,Elective,10
Insertion Ureteric Stent Endoscopic,Emergency,90
Insertion Ureteric Stent Percutaneous,Emergency,1
Insertion Urethral Stent Endoscopic,Emergency,2
Insertion Urodynamic Line,Elective,1
Insertion Weight to Eyelid,Elective,1
Inspection of Wound and Redress,Elective,14
Inspection of Wound and Redress,Emergency,6
Int Fixation Fracture Spine,Elective,1
Int Fixation Fracture Spine,Emergency,8
Int Fixation Fractured Acetabulum /Reconstruction (Orif),Emergency,7
Int Fixation Fractured Ankle - Open (Orif),Elective,44
Int Fixation Fractured Ankle - Open (Orif),Emergency,185
Int Fixation Fractured Ankle - Percutaneous,Elective,1
Int Fixation Fractured Calcaneum (Orif),Emergency,3
Int Fixation Fractured Clavicle (Orif),Elective,16
Int Fixation Fractured Clavicle (Orif),Emergency,20
Int Fixation Fractured Elbow - Percutaneous,Elective,2
Int Fixation Fractured Elbow - Percutaneous,Emergency,6
Int Fixation Fractured Elbow (Orif),Elective,14
Int Fixation Fractured Elbow (Orif),Emergency,22
Int Fixation Fractured Femur - Circulage (Orif),Emergency,2
Int Fixation Fractured Femur - Plating (Orif),Elective,10
Int Fixation Fractured Femur - Plating (Orif),Emergency,18
Int Fixation Fractured Humerus - Percutaneous,Emergency,3
Int Fixation Fractured Humerus - Plating (Orif),Elective,18
Int Fixation Fractured Humerus - Plating (Orif),Emergency,24
Int Fixation Fractured Humerus - Screws (Orif),Emergency,2
Int Fixation Fractured Mandible,Emergency,27
Int Fixation Fractured Pelvis (Orif),Emergency,7
Int Fixation Fractured Radius And/Or Ulna - Plating (Orif),Elective,22
Int Fixation Fractured Radius And/Or Ulna - Plating (Orif),Emergency,65
Int Fixation Fractured Radius And/Or Ulna - Screws (Orif),Emergency,1
Int Fixation Fractured Tib And/Or Fib - Percutaneous,Elective,1
Int Fixation Fractured Tib And/Or Fib - Percutaneous,Emergency,1
Int Fixation Fractured Tib And/Or Fib - Plating (Orif),Elective,3
Int Fixation Fractured Tib And/Or Fib - Plating (Orif),Emergency,10
Int Fixation Fractured Wrist (Orif),Elective,65
Int Fixation Fractured Wrist (Orif),Emergency,66
Int Fixation of Bone Nec (Orif),Elective,11
Int Fixation of Bone Nec (Orif),Emergency,7
Int Fixation Tibial Plateau (Orif),Elective,6
Int Fixation Tibial Plateau (Orif),Emergency,21
Intercostal Nerve Block,Elective,2
Intercostal Nerve Block,Emergency,3
Internal Fixation Finger (Orif),Elective,28
Internal Fixation Finger (Orif),Emergency,5
Internal Fixation Fractured Bone Open Extramedullary Specified (Orif),Elective,2
Internal Fixation Fractured Clavical (Hook Plate) (Orif),Elective,3
Internal Fixation Fractured Clavical (Hook Plate) (Orif),Emergency,1
Internal Fixation of A Peri Prosthetic Fracture (Orif),Elective,7
Internal Fixation of A Peri Prosthetic Fracture (Orif),Emergency,16
Intertan - Intramedullary Hip Screw,Elective,22
Intertan - Intramedullary Hip Screw,Emergency,79
Intra Vitreal Antibiotics for Endophthalmitis,Elective,1
Intra Vitreal Injection of Gas,Elective,1
Introduction of Theraputic Substance Into Bladder,Elective,1
Intubation,Emergency,7
Intubation,Unknown,2
Irrigation Bladder Urethral (Bladder Washout),Elective,4
Irrigation Bladder Urethral (Bladder Washout),Emergency,3
Irrigation Bladder Urethral (Bladder Washout),Unknown,1
Irrigation Wound,Elective,5
Irrigation Wound,Emergency,2
Isolated Limb Infusion,Elective,3
Isthmectomy of Thyroid Gland,Elective,1
Jaboulay's Eversion of Hydrocele,Elective,36
Jejunectomy Partial and Anastomosis,Emergency,1
Jejunostomy Lap Assisted,Elective,1
Jejunostomy Lap Assisted,Emergency,1
Journey Total Knee Replacement,Elective,1
K Wires Fractured Bone - Open,Elective,4
K Wires Fractured Bone - Open,Emergency,7
K Wires Fractured Bone - Percutaneous,Elective,11
K Wires Fractured Bone - Percutaneous,Emergency,20
K Wires to Fingers - Percutaneous,Elective,21
K Wires to Fingers - Percutaneous,Emergency,20
K Wires to Wrist - Percutaneous,Elective,1
K Wires to Wrist - Percutaneous,Emergency,7
Keratectomy Superficial,Elective,11
Keratoplasty,Elective,2
Kyphoplasty Fractured Spine,Elective,10
Lap Abdominoperineal Exc Rectum and Colostomy,Elective,5
Lap Abdominoperineal Exc Rectum and Colostomy Bil Pedicle Gracillis Flap,Elective,1
Laparoscopic Approach to Abdominal Cavity,Emergency,2
Laparoscopic Caecectomy,Elective,3
Laparoscopic Closure of Perforated Ulcer of Duodenum,Emergency,2
Laparoscopic Diagnostic Treatment to Endometriosis,Elective,93
Laparoscopic Excision Lesion of Stomach,Elective,6
Laparoscopic Gastrostomy - Insertion Feeding Tube,Elective,1
Laparoscopic Gastrostomy - Insertion Feeding Tube,Emergency,2
Laparoscopic Heller Cardiomyotomy,Elective,2
Laparoscopic Heller Cardiomyotomy and Dor Fundoplication,Elective,1
Laparoscopic Nephroureterectomy Robot Assisted,Elective,7
Laparoscopic Repair of Para Oesophageal Hernia,Elective,10
Laparoscopic Repair of Para Oesophageal Hernia,Emergency,3
Laparoscopic Sacrocolpopexy,Elective,2
Laparoscopic Sleeve Gastrectomy,Emergency,1
